ID,Ages,Income,Credit_Score,Loan_Amount,State
55,20,85129,669,17025,Maharastra
56,54,33472,448,6694,Maharastra
57,68,74176,787,14835,Maharastra
58,24,37805,673,7561,Maharastra
59,38,58403,459,11680,Maharastra
60,26,36318,650,7263,Maharastra
61,56,64956,587,12991,Maharastra
62,35,46470,587,9294,Maharastra
63,21,57016,525,11403,Maharastra
64,42,50225,822,10045,Maharastra
65,77,29515,821,5903,Maharastra
66,31,57561,572,11512,Maharastra
67,67,42451,701,8490,Maharastra
68,75,65679,482,13135,Maharastra
69,26,46462,787,9292,Maharastra
70,43,48848,423,9769,Maharastra
71,70,75243,713,15048,Maharastra
72,19,85724,471,17144,Maharastra
73,37,61790,587,12358,Maharastra
74,45,45692,734,9138,Maharastra
75,64,44380,412,8876,Maharastra
76,77,37719,421,7543,Maharastra
77,24,40621,843,8124,Maharastra
78,61,45895,521,9179,Maharastra
79,78,79463,338,15892,Maharastra
80,25,47041,796,9408,Maharastra
81,64,31609,532,6321,Maharastra
82,52,50624,829,10124,Maharastra
83,31,52671,448,10534,Maharastra
84,34,50534,696,10106,Maharastra
85,53,61995,601,12399,Maharastra
86,67,51035,659,10207,Maharastra
87,57,61530,537,12306,Maharastra
88,21,38294,535,7658,Maharastra
89,19,76710,502,15342,Maharastra
90,79,53787,555,10757,Maharastra
91,23,56003,534,11200,Maharastra
92,71,38232,644,7646,Maharastra
93,59,57077,833,11415,Maharastra
94,21,59765,765,11953,Maharastra
95,71,32453,840,6490,Maharastra
96,46,25113,512,5022,Maharastra
97,35,54404,762,10880,Maharastra
98,43,42668,735,8533,Maharastra
99,61,53898,582,10779,Maharastra
100,51,30634,762,6126,Maharastra
101,27,26592,706,5318,Maharastra
102,79,53100,387,10620,Maharastra
103,53,44753,343,8950,Maharastra
104,31,18339,760,3667,Maharastra
105,48,70146,577,14029,Maharastra
106,65,30385,720,6077,Maharastra
107,32,88599,652,17719,Maharastra
108,25,40639,814,8127,Maharastra
109,31,56023,318,11204,Maharastra
110,40,74704,322,14940,Maharastra
111,77,72191,712,14438,Maharastra
112,74,79792,329,15958,Maharastra
113,79,27153,407,5430,Maharastra
114,57,32962,666,6592,Maharastra
115,38,53389,580,10677,Maharastra
116,33,62596,427,12519,Maharastra
117,62,49831,528,9966,Maharastra
118,35,25430,410,5086,Maharastra
119,64,57448,435,11489,Maharastra
120,70,47086,661,9417,Maharastra
121,41,46906,485,9381,Maharastra
122,43,15830,428,3166,Maharastra
123,42,61962,560,12392,Maharastra
124,77,52178,814,10435,Maharastra
125,77,76927,748,15385,Maharastra
126,77,48882,403,9776,Maharastra
127,62,58495,782,11699,Maharastra
128,58,62477,523,12495,Maharastra
129,46,23807,790,4761,Maharastra
130,32,89250,772,17850,Maharastra
131,62,43538,309,8707,Maharastra
132,18,57418,704,11483,Maharastra
133,42,59608,601,11921,Maharastra
134,24,37778,530,7555,Maharastra
135,26,77704,365,15540,Maharastra
136,41,53989,411,10797,Maharastra
137,18,46797,312,9359,Maharastra
138,61,52077,692,10415,Maharastra
139,25,61463,799,12292,Maharastra
140,41,50161,533,10032,Maharastra
141,28,63228,613,12645,Maharastra
142,68,24726,311,4945,Maharastra
143,34,38780,508,7756,Maharastra
144,25,17917,313,3583,Maharastra
145,52,79955,717,15991,Maharastra
146,52,79759,736,15951,Maharastra
147,50,59399,676,11879,Maharastra
148,76,34810,319,6962,Maharastra
149,22,85848,369,17169,Maharastra
150,59,40933,510,8186,Maharastra
151,56,46801,400,9360,Maharastra
152,75,52393,431,10478,Maharastra
153,58,56772,680,11354,Maharastra
154,45,59657,431,11931,Maharastra
155,24,60259,319,12051,Maharastra
156,26,47832,835,9566,Maharastra
157,25,60021,526,12004,Maharastra
158,29,47161,453,9432,Maharastra
159,51,58689,768,11737,Maharastra
160,50,57459,704,11491,Maharastra
161,65,61442,501,12288,Maharastra
162,72,59569,337,11913,Maharastra
163,40,43363,487,8672,Maharastra
164,79,56880,356,11376,Maharastra
165,41,59800,319,11960,Maharastra
166,54,30633,572,6126,Maharastra
167,52,45889,418,9177,Maharastra
168,61,59121,815,11824,Maharastra
169,57,75639,520,15127,Maharastra
170,39,62373,825,12474,Maharastra
171,44,76585,814,15317,Maharastra
172,52,44024,635,8804,Maharastra
173,18,53752,354,10750,Maharastra
174,52,62086,799,12417,Maharastra
175,54,15104,835,3020,Maharastra
176,64,72662,461,14532,Maharastra
177,31,22086,458,4417,Maharastra
178,20,64954,487,12990,Maharastra
179,18,60302,359,12060,Maharastra
180,22,14906,618,2981,Maharastra
181,43,15664,510,3132,Maharastra
182,72,71487,705,14297,Maharastra
183,31,68220,408,13644,Maharastra
184,56,36787,375,7357,Maharastra
185,44,36771,841,7354,Maharastra
186,26,57689,613,11537,Maharastra
187,32,49808,416,9961,Maharastra
188,32,65815,318,13163,Maharastra
189,43,57193,731,11438,Maharastra
190,59,73745,649,14749,Maharastra
191,77,64551,482,12910,Maharastra
192,30,60811,412,12162,Maharastra
193,68,44718,482,8943,Maharastra
194,49,43620,780,8724,Maharastra
195,56,49223,445,9844,Maharastra
196,66,77614,412,15522,Maharastra
197,69,43905,775,8781,Maharastra
198,78,53907,602,10781,Maharastra
199,49,16327,417,3265,Maharastra
200,21,60137,460,12027,Maharastra
201,47,83857,700,16771,Maharastra
202,54,35995,497,7199,Maharastra
203,40,97616,559,19523,Maharastra
204,56,52733,346,10546,Maharastra
205,62,11406,698,2281,Maharastra
206,32,44216,377,8843,Maharastra
207,60,69956,423,13991,Maharastra
208,46,79989,374,15997,Maharastra
209,53,60771,436,12154,Maharastra
210,30,73513,699,14702,Maharastra
211,49,32333,804,6466,Maharastra
212,24,39796,799,7959,Maharastra
213,76,24808,437,4961,Maharastra
214,68,40924,349,8184,Maharastra
215,39,61428,553,12285,Maharastra
216,45,53189,725,10637,Maharastra
217,19,63017,846,12603,Maharastra
218,59,35952,601,7190,Maharastra
219,62,36867,648,7373,Maharastra
220,79,53069,348,10613,Maharastra
221,74,40960,373,8192,Maharastra
222,70,69527,560,13905,Maharastra
223,23,40588,655,8117,Maharastra
224,45,42569,559,8513,Maharastra
225,45,56282,594,11256,Maharastra
226,61,44160,612,8832,Maharastra
227,61,31475,481,6295,Maharastra
228,37,33509,663,6701,Maharastra
229,47,58066,487,11613,Maharastra
230,79,29619,842,5923,Maharastra
231,28,70957,847,14191,Maharastra
232,75,39644,707,7928,Maharastra
233,72,59243,713,11848,Maharastra
234,45,40543,641,8108,Maharastra
235,42,36271,519,7254,Maharastra
236,56,53691,462,10738,Maharastra
237,79,65776,519,13155,Maharastra
238,50,46289,569,9257,Maharastra
239,18,49017,699,9803,Maharastra
240,74,62111,481,12422,Maharastra
241,44,62607,504,12521,Maharastra
242,79,49422,527,9884,Maharastra
243,74,43347,549,8669,Maharastra
244,69,51239,740,10247,Maharastra
245,30,47136,832,9427,Maharastra
246,58,54694,495,10938,Maharastra
247,20,32085,818,6417,Maharastra
248,56,54157,369,10831,Maharastra
249,23,39225,698,7845,Maharastra
250,25,63588,502,12717,Maharastra
251,44,39912,447,7982,Maharastra
252,26,40173,771,8034,Maharastra
253,79,56680,498,11336,Maharastra
254,54,50213,725,10042,Maharastra
255,50,84149,791,16829,Maharastra
256,68,25560,441,5112,Maharastra
257,59,51647,612,10329,Maharastra
258,61,66944,464,13388,Maharastra
259,41,41325,613,8265,Maharastra
260,32,36341,320,7268,Maharastra
261,76,36937,381,7387,Maharastra
262,71,25820,430,5164,Maharastra
263,49,70245,604,14049,Maharastra
264,49,45055,670,9011,Maharastra
265,41,43279,683,8655,Maharastra
266,58,18138,744,3627,Maharastra
267,69,28494,724,5698,Maharastra
268,66,71980,460,14396,Maharastra
269,79,54546,477,10909,Maharastra
270,66,67497,789,13499,Maharastra
271,75,65599,626,13119,Maharastra
272,69,34990,588,6998,Maharastra
273,29,86447,653,17289,Maharastra
274,79,79245,327,15849,Maharastra
275,56,41543,342,8308,Maharastra
276,19,-3523,722,-704,Maharastra
277,20,44652,476,8930,Maharastra
278,66,53574,828,10714,Maharastra
279,54,41484,793,8296,Maharastra
280,66,46677,497,9335,Maharastra
281,73,37570,816,7514,Maharastra
282,34,63824,813,12764,Maharastra
283,76,50954,321,10190,Maharastra
284,66,64272,411,12854,Maharastra
285,19,68333,356,13666,Maharastra
286,19,17385,365,3477,Maharastra
287,45,38442,397,7688,Maharastra
288,71,40639,443,8127,Maharastra
289,40,88570,734,17714,Maharastra
290,54,52235,385,10447,Maharastra
291,49,62188,643,12437,Maharastra
292,50,21789,593,4357,Maharastra
293,18,52148,542,10429,Maharastra
294,36,64674,331,12934,Maharastra
295,79,62929,690,12585,Maharastra
296,19,59350,576,11870,Maharastra
297,70,50195,831,10039,Maharastra
298,61,50923,453,10184,Maharastra
299,43,24601,682,4920,Maharastra
300,49,36492,367,7298,Maharastra
301,23,53464,513,10692,Maharastra
302,49,39260,675,7852,Maharastra
303,72,60332,512,12066,Maharastra
304,21,57001,378,11400,Maharastra
305,72,70510,680,14102,Maharastra
306,28,64373,357,12874,Maharastra
307,73,53408,325,10681,Maharastra
308,76,61219,746,12243,Maharastra
309,34,65076,365,13015,Maharastra
310,55,42388,553,8477,Maharastra
311,41,45060,343,9012,Maharastra
312,22,48547,396,9709,Maharastra
313,69,42867,526,8573,Maharastra
314,51,65235,735,13047,Maharastra
315,23,40590,678,8118,Maharastra
316,39,68774,477,13754,Maharastra
317,28,44495,726,8899,Maharastra
318,65,57085,606,11417,Maharastra
319,33,52496,803,10499,Maharastra
320,50,35360,567,7072,Maharastra
321,26,49701,307,9940,Maharastra
322,77,55004,807,11000,Maharastra
323,76,49035,775,9807,Maharastra
324,23,29859,596,5971,Maharastra
325,33,75521,463,15104,Maharastra
326,46,51315,784,10263,Maharastra
327,20,38085,371,7617,Maharastra
328,37,74311,537,14862,Maharastra
329,77,59260,403,11852,Maharastra
330,76,31997,509,6399,Maharastra
331,53,34332,767,6866,Maharastra
332,36,46664,753,9332,Maharastra
333,43,54459,567,10891,Maharastra
334,20,59341,685,11868,Maharastra
335,36,64252,686,12850,Maharastra
336,37,58093,558,11618,Maharastra
337,49,70201,582,14040,Maharastra
338,24,51901,339,10380,Maharastra
339,69,38605,785,7721,Maharastra
340,58,49949,519,9989,Maharastra
341,50,48965,428,9793,Maharastra
342,57,11326,819,2265,Maharastra
343,56,41579,559,8315,Maharastra
344,35,54713,665,10942,Maharastra
345,57,43636,843,8727,Maharastra
346,18,40306,823,8061,Maharastra
347,28,63670,315,12734,Maharastra
348,45,36251,428,7250,Maharastra
349,74,60674,408,12134,Maharastra
350,42,30008,832,6001,Maharastra
351,67,91411,568,18282,Maharastra
352,40,46764,461,9352,Maharastra
353,48,45151,559,9030,Maharastra
354,47,67145,401,13429,Maharastra
355,59,43719,805,8743,Maharastra
356,52,71823,546,14364,Maharastra
357,24,55573,836,11114,Maharastra
358,77,48224,430,9644,Maharastra
359,33,46624,652,9324,Maharastra
360,43,68113,495,13622,Maharastra
361,65,53457,681,10691,Maharastra
362,74,56484,526,11296,Maharastra
363,69,58115,775,11623,Maharastra
364,77,51994,776,10398,Maharastra
365,66,57798,564,11559,Maharastra
366,19,48225,671,9645,Maharastra
367,18,49252,785,9850,Maharastra
368,65,33213,733,6642,Maharastra
369,79,54466,510,10893,Maharastra
370,29,24206,676,4841,Maharastra
371,22,54253,694,10850,Maharastra
372,54,45790,749,9158,Maharastra
373,49,55618,663,11123,Maharastra
374,76,34267,756,6853,Maharastra
375,72,18209,525,3641,Maharastra
376,26,44737,430,8947,Maharastra
377,58,34311,775,6862,Maharastra
378,52,23291,576,4658,Maharastra
379,36,61519,455,12303,Maharastra
380,65,74018,517,14803,Maharastra
381,33,38045,489,7609,Maharastra
382,20,48863,716,9772,Maharastra
383,37,45383,845,9076,Maharastra
384,41,40116,340,8023,Maharastra
385,71,59956,606,11991,Maharastra
386,73,65152,637,13030,Maharastra
387,50,36970,613,7394,Maharastra
388,41,50671,374,10134,Maharastra
389,69,69267,578,13853,Maharastra
390,28,60335,475,12067,Maharastra
391,66,62565,572,12513,Maharastra
392,25,70519,588,14103,Maharastra
393,53,70322,571,14064,Maharastra
394,55,65429,365,13085,Maharastra
395,57,52174,782,10434,Maharastra
396,37,44262,547,8852,Maharastra
397,79,51552,455,10310,Maharastra
398,52,41983,346,8396,Maharastra
399,65,20712,753,4142,Maharastra
400,79,45807,500,9161,Maharastra
401,42,55362,423,11072,Maharastra
402,52,41190,300,8238,Maharastra
403,42,47108,490,9421,Maharastra
404,46,47689,815,9537,Maharastra
405,35,70352,741,14070,Maharastra
406,63,44608,442,8921,Maharastra
407,35,70349,490,14069,Maharastra
408,19,9312,832,1862,Maharastra
409,71,70217,526,14043,Maharastra
410,52,69461,612,13892,Maharastra
411,33,63533,601,12706,Maharastra
412,78,19821,759,3964,Maharastra
413,58,65283,700,13056,Maharastra
414,53,49248,692,9849,Maharastra
415,50,12059,506,2411,Maharastra
416,21,69472,509,13894,Maharastra
417,50,71662,414,14332,Maharastra
418,31,21432,550,4286,Maharastra
419,38,52631,518,10526,Maharastra
420,65,70828,706,14165,Maharastra
421,37,68452,742,13690,Maharastra
422,73,62540,653,12508,Maharastra
423,25,10291,849,2058,Maharastra
424,24,60943,441,12188,Maharastra
425,20,46728,800,9345,Maharastra
426,34,64937,846,12987,Maharastra
427,50,53842,841,10768,Maharastra
428,65,49701,806,9940,Maharastra
429,29,59613,580,11922,Maharastra
430,76,47421,723,9484,Maharastra
431,68,49635,569,9927,Maharastra
432,39,41671,453,8334,Maharastra
433,72,25918,382,5183,Maharastra
434,39,58517,725,11703,Maharastra
435,63,37909,574,7581,Maharastra
436,47,46988,583,9397,Maharastra
437,55,54304,472,10860,Maharastra
438,55,18721,626,3744,Maharastra
439,62,22079,362,4415,Maharastra
440,68,45503,372,9100,Maharastra
441,71,56818,674,11363,Maharastra
442,25,61160,807,12232,Maharastra
443,44,26130,697,5226,Maharastra
444,44,59549,419,11909,Maharastra
445,51,46323,736,9264,Maharastra
446,38,36752,764,7350,Maharastra
447,47,40271,585,8054,Maharastra
448,50,62027,564,12405,Maharastra
449,45,54110,619,10822,Maharastra
450,64,50754,675,10150,Maharastra
451,50,53652,388,10730,Maharastra
452,22,63921,502,12784,Maharastra
453,77,48543,633,9708,Maharastra
454,78,50814,521,10162,Maharastra
455,65,67072,340,13414,Maharastra
456,36,45026,367,9005,Maharastra
457,21,59272,813,11854,Maharastra
458,52,42444,426,8488,Maharastra
459,66,43761,554,8752,Maharastra
460,34,48439,315,9687,Maharastra
461,61,57729,776,11545,Maharastra
462,45,67912,361,13582,Maharastra
463,47,51448,731,10289,Maharastra
464,46,27502,567,5500,Maharastra
465,63,59471,334,11894,Maharastra
466,70,86807,793,17361,Maharastra
467,23,51630,768,10326,Maharastra
468,52,24368,624,4873,Maharastra
469,77,52544,603,10508,Maharastra
470,58,49954,575,9990,Maharastra
471,54,48693,500,9738,Maharastra
472,41,64181,744,12836,Maharastra
473,46,70674,623,14134,Maharastra
474,66,60253,334,12050,Maharastra
475,63,48004,781,9600,Maharastra
476,70,66885,779,13377,Maharastra
477,48,27592,364,5518,Maharastra
478,52,39259,307,7851,Maharastra
479,77,40930,600,8186,Maharastra
480,50,49535,642,9907,Maharastra
481,69,57601,730,11520,Maharastra
482,78,46989,723,9397,Maharastra
483,38,36409,631,7281,Maharastra
484,49,64622,737,12924,Maharastra
485,40,46468,473,9293,Maharastra
486,50,51531,826,10306,Maharastra
487,20,58266,325,11653,Maharastra
488,35,50583,705,10116,Maharastra
489,42,50649,531,10129,Maharastra
490,59,65457,832,13091,Maharastra
491,48,52270,849,10454,Maharastra
492,71,62941,804,12588,Maharastra
493,75,58170,478,11634,Maharastra
494,20,80253,431,16050,Maharastra
495,57,56141,754,11228,Maharastra
496,63,59569,647,11913,Maharastra
497,41,66524,839,13304,Maharastra
498,67,50954,705,10190,Maharastra
499,49,40432,375,8086,Maharastra
500,64,42887,791,8577,Maharastra
501,39,43032,493,8606,Maharastra
502,40,35745,461,7149,Maharastra
503,19,54767,646,10953,Maharastra
504,44,40557,660,8111,Maharastra
505,59,52922,386,10584,Maharastra
506,19,47619,561,9523,Maharastra
507,43,49375,513,9875,Maharastra
508,34,58340,561,11668,Maharastra
509,57,41871,582,8374,Maharastra
510,50,59583,766,11916,Maharastra
511,26,73509,679,14701,Maharastra
512,60,55146,661,11029,Maharastra
513,71,38268,748,7653,Maharastra
514,65,40774,740,8154,Maharastra
515,56,46276,392,9255,Maharastra
516,46,41076,723,8215,Maharastra
517,59,35132,441,7026,Maharastra
518,72,52316,590,10463,Maharastra
519,43,46682,731,9336,Maharastra
520,52,52845,348,10569,Maharastra
521,67,67795,601,13559,Maharastra
522,42,46454,489,9290,Maharastra
523,41,32218,435,6443,Maharastra
524,30,44016,703,8803,Maharastra
525,77,61556,640,12311,Maharastra
526,75,60151,617,12030,Maharastra
527,24,57779,662,11555,Maharastra
528,74,40629,681,8125,Maharastra
529,53,61278,532,12255,Maharastra
530,62,64653,643,12930,Maharastra
531,37,39568,848,7913,Maharastra
532,18,49376,828,9875,Maharastra
533,25,80306,482,16061,Maharastra
534,63,38901,340,7780,Maharastra
535,33,24423,696,4884,Maharastra
536,31,70743,793,14148,Maharastra
537,29,67049,632,13409,Maharastra
538,68,43145,426,8629,Maharastra
539,40,48305,300,9661,Maharastra
540,32,31625,467,6325,Maharastra
541,45,51334,318,10266,Maharastra
542,51,67488,631,13497,Maharastra
543,19,41860,755,8372,Maharastra
544,49,63156,408,12631,Maharastra
545,40,56955,567,11391,Maharastra
546,39,58667,744,11733,Maharastra
547,68,42735,539,8547,Maharastra
548,42,44680,600,8936,Maharastra
549,75,22298,402,4459,Maharastra
550,79,41499,549,8299,Maharastra
551,78,67452,752,13490,Maharastra
552,39,36060,819,7212,Maharastra
553,75,38295,452,7659,Maharastra
554,75,59602,473,11920,Maharastra
555,39,56041,642,11208,Maharastra
556,66,60347,730,12069,Maharastra
557,69,32551,623,6510,Maharastra
558,59,88460,719,17692,Maharastra
559,23,31763,784,6352,Maharastra
560,32,52313,711,10462,Maharastra
561,71,47620,383,9524,Maharastra
562,60,32200,412,6440,Maharastra
563,77,44446,631,8889,Maharastra
564,54,50349,677,10069,Maharastra
565,50,40250,340,8050,Maharastra
566,25,64058,404,12811,Maharastra
567,70,47575,501,9515,Maharastra
568,77,29880,749,5976,Maharastra
569,61,28608,565,5721,Maharastra
570,61,59092,509,11818,Maharastra
571,22,27698,417,5539,Maharastra
572,56,54746,676,10949,Maharastra
573,21,56669,839,11333,Maharastra
574,23,35069,383,7013,Maharastra
575,62,63361,753,12672,Maharastra
576,49,24233,813,4846,Maharastra
577,69,54446,686,10889,Maharastra
578,47,49387,649,9877,Maharastra
579,64,48215,595,9643,Maharastra
580,52,32331,557,6466,Maharastra
581,72,35944,380,7188,Maharastra
582,57,74282,567,14856,Maharastra
583,69,68227,718,13645,Maharastra
584,33,61131,534,12226,Maharastra
585,30,64097,610,12819,Maharastra
586,67,62690,656,12538,Maharastra
587,77,45149,512,9029,Maharastra
588,59,50714,348,10142,Maharastra
589,47,27912,426,5582,Maharastra
590,36,48654,522,9730,Maharastra
591,34,67751,578,13550,Maharastra
592,73,40089,707,8017,Maharastra
593,36,65347,804,13069,Maharastra
594,45,51373,593,10274,Maharastra
595,75,29219,576,5843,Maharastra
596,72,33390,737,6678,Maharastra
597,43,63789,406,12757,Maharastra
598,54,58287,719,11657,Maharastra
599,43,51526,728,10305,Maharastra
600,70,45889,674,9177,Maharastra
601,79,53158,372,10631,Maharastra
602,40,63204,329,12640,Maharastra
603,26,72137,487,14427,Maharastra
604,29,72855,663,14571,Maharastra
605,70,55579,750,11115,Maharastra
606,18,47421,494,9484,Maharastra
607,75,52193,455,10438,Maharastra
608,75,57831,471,11566,Maharastra
609,18,57771,340,11554,Maharastra
610,64,69619,362,13923,Maharastra
611,51,81736,322,16347,Maharastra
612,49,46921,659,9384,Maharastra
613,79,82338,374,16467,Maharastra
614,71,67583,417,13516,Maharastra
615,65,48487,679,9697,Maharastra
616,42,72478,589,14495,Maharastra
617,57,75284,739,15056,Maharastra
618,62,43095,306,8619,Maharastra
619,70,75983,495,15196,Maharastra
620,18,66126,720,13225,Maharastra
621,33,85528,492,17105,Maharastra
622,78,43639,447,8727,Maharastra
623,56,44698,501,8939,Maharastra
624,22,19600,743,3920,Maharastra
625,39,58567,718,11713,Maharastra
626,46,55628,726,11125,Maharastra
627,72,41555,778,8311,Maharastra
628,20,48772,774,9754,Maharastra
629,29,30331,425,6066,Maharastra
630,43,67976,694,13595,Maharastra
631,33,42654,624,8530,Maharastra
632,68,96410,691,19282,Maharastra
633,54,47365,739,9473,Maharastra
634,39,38605,503,7721,Maharastra
635,74,43815,785,8763,Maharastra
636,46,28820,330,5764,Maharastra
637,31,57234,687,11446,Maharastra
638,45,43701,733,8740,Maharastra
639,22,66968,675,13393,Maharastra
640,64,45878,643,9175,Maharastra
641,66,70766,742,14153,Maharastra
642,47,61361,374,12272,Maharastra
643,63,50428,454,10085,Maharastra
644,79,73703,729,14740,Maharastra
645,69,64284,662,12856,Maharastra
646,22,94193,747,18838,Maharastra
647,29,43858,533,8771,Maharastra
648,33,51149,561,10229,Maharastra
649,43,73530,424,14706,Maharastra
650,43,26846,544,5369,Maharastra
651,65,69754,841,13950,Maharastra
652,38,56589,784,11317,Maharastra
653,56,36676,421,7335,Maharastra
654,53,29554,424,5910,Maharastra
655,50,39912,848,7982,Maharastra
656,79,15727,469,3145,Maharastra
657,47,42656,423,8531,Maharastra
658,54,59338,334,11867,Maharastra
659,40,42855,386,8571,Maharastra
660,75,70824,500,14164,Maharastra
661,27,74899,668,14979,Maharastra
662,71,69134,376,13826,Maharastra
663,22,53459,358,10691,Maharastra
664,53,15129,730,3025,Maharastra
665,51,39444,799,7888,Maharastra
666,69,47869,408,9573,Maharastra
667,48,36591,577,7318,Maharastra
668,27,47907,367,9581,Maharastra
669,75,74151,368,14830,Maharastra
670,36,25313,464,5062,Maharastra
671,75,77175,788,15435,Maharastra
672,49,63270,604,12654,Maharastra
673,18,54023,664,10804,Maharastra
674,73,39295,678,7859,Maharastra
675,22,36890,642,7378,Maharastra
676,62,25606,653,5121,Maharastra
677,21,75751,715,15150,Maharastra
678,33,73064,408,14612,Maharastra
679,41,28905,796,5781,Maharastra
680,33,41710,640,8342,Maharastra
681,72,56497,682,11299,Maharastra
682,19,45507,832,9101,Maharastra
683,66,21219,599,4243,Maharastra
684,45,40133,438,8026,Maharastra
685,49,79265,658,15853,Maharastra
686,44,41150,798,8230,Maharastra
687,37,47547,684,9509,Maharastra
688,41,32822,579,6564,Maharastra
689,29,58816,782,11763,Maharastra
690,67,51727,410,10345,Maharastra
691,52,38869,438,7773,Maharastra
692,77,30430,734,6086,Maharastra
693,50,71068,808,14213,Maharastra
694,50,25916,572,5183,Maharastra
695,78,57557,398,11511,Maharastra
696,68,17691,403,3538,Maharastra
697,60,60608,513,12121,Maharastra
698,54,64554,464,12910,Maharastra
699,29,66421,819,13284,Maharastra
700,20,47581,583,9516,Maharastra
701,18,73760,816,14752,Maharastra
702,50,84616,463,16923,Maharastra
703,57,45175,363,9035,Maharastra
704,27,43234,390,8646,Maharastra
705,60,52237,416,10447,Maharastra
706,61,42834,566,8566,Maharastra
707,46,40641,439,8128,Maharastra
708,30,41948,545,8389,Maharastra
709,29,75736,694,15147,Maharastra
710,48,61578,786,12315,Maharastra
711,63,42785,775,8557,Maharastra
712,19,13173,816,2634,Maharastra
713,78,26833,483,5366,Maharastra
714,68,57551,319,11510,Maharastra
715,67,18176,823,3635,Maharastra
716,52,54394,828,10878,Maharastra
717,40,34016,446,6803,Maharastra
718,34,51377,603,10275,Maharastra
719,43,50957,527,10191,Maharastra
720,25,51808,401,10361,Maharastra
721,46,44083,716,8816,Maharastra
722,43,43590,515,8718,Maharastra
723,27,39188,706,7837,Maharastra
724,43,57258,698,11451,Maharastra
725,79,62077,798,12415,Maharastra
726,51,31715,764,6343,Maharastra
727,68,49225,381,9845,Maharastra
728,58,52948,664,10589,Maharastra
729,24,52756,462,10551,Maharastra
730,21,52501,347,10500,Maharastra
731,75,43969,810,8793,Maharastra
732,70,54185,628,10837,Maharastra
733,67,59270,415,11854,Maharastra
734,62,52115,636,10423,Maharastra
735,28,57589,446,11517,Maharastra
736,46,64855,622,12971,Maharastra
737,73,22235,742,4447,Maharastra
738,53,64151,312,12830,Maharastra
739,42,55136,793,11027,Maharastra
740,38,33325,586,6665,Maharastra
741,78,62037,413,12407,Maharastra
742,74,44025,779,8805,Maharastra
743,53,46070,321,9214,Maharastra
744,27,42384,648,8476,Maharastra
745,54,54535,619,10907,Maharastra
746,26,38219,425,7643,Maharastra
747,41,63522,576,12704,Maharastra
748,52,47917,503,9583,Maharastra
749,66,44536,493,8907,Maharastra
750,52,61293,846,12258,Maharastra
751,65,45206,585,9041,Maharastra
752,53,64222,356,12844,Maharastra
753,35,64693,602,12938,Maharastra
754,66,29977,462,5995,Maharastra
755,56,66638,318,13327,Maharastra
756,49,28069,669,5613,Maharastra
757,41,67573,563,13514,Maharastra
758,40,80425,412,16085,Maharastra
759,79,63122,787,12624,Maharastra
760,49,17645,626,3529,Maharastra
761,54,65953,841,13190,Maharastra
762,29,83691,364,16738,Maharastra
763,66,45454,591,9090,Maharastra
764,72,49479,324,9895,Maharastra
765,30,32172,848,6434,Maharastra
766,40,54681,300,10936,Maharastra
767,42,69037,848,13807,Maharastra
768,52,60466,440,12093,Maharastra
769,58,97129,487,19425,Maharastra
770,47,50495,427,10099,Maharastra
771,34,25539,500,5107,Maharastra
772,66,52564,426,10512,Maharastra
773,79,13753,556,2750,Maharastra
774,37,42003,846,8400,Maharastra
